code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"ACCNIS","Accipiter nisus","Land Bird",,"rapace","Accipitridae","Epervier d'Europe",,,,"Epervier d'Europe","European Sparrowhawk","Gavilan comun","Chordata","Aves","Falconiformes","Accipitridae","Oiseau terrestre","Accipitridae","Bird of prey",,"Accipiter nisus",,,,,,,,,,,,,,,,,,,,,,,,
"ACRPAL","Acrocephalus palustris","Land Bird",,"Passereau","Autre oiseau","Rousserolle verderolle",,,,"Rousserolle verderolle","Marsh warbler","Carricero poliglota","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",3.0000000000000000e+00,"Acrocephalus palustris"," Rousserolle verderolle","Marsh Warbler",4.1920000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSCH","Acrocephalus schoenobaenus","Land Bird",,"Passereau","Autre oiseau","Phragmite des joncs",,,,"Phragmite des joncs","Sedge Warbler","Carricerin comun","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",4.0000000000000000e+00,"Acrocephalus schoenobaenus"," Phragmite des joncs","Sedge Warbler",4.1870000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSCI","Acrocephalus scirpaceus","Land Bird",,"Passereau","Autre oiseau","Rousserolle effarvate",,,,"Rousserolle effarvate","Eurasian Reed Warbler","Carricero comun","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",5.0000000000000000e+00,"Acrocephalus scirpaceus"," Rousserolle effarvatte","Eurasian Reed Warbler",4.1950000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Sylviidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACRSPP","Acrocephalus spp","Land Bird",,"Passereau","Autre oiseau","Rousserolle ind.",,,,"Rousserolle ind.","Warbler unidentif.","Carricero spp","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",2.0000000000000000e+00,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"ACTHYP","Actitis hypoleucos","Land Bird",,"Limicole","Scolopacidae","Chevalier guignette",,,,"Chevalier guignette","Common sandpiper","Andarrios chico","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Scolopacidae","Shorebird",6.0000000000000000e+00,"Actitis hypoleucos"," Chevalier guignette",,2.6160000000000000e+03,,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,,,,"bat",,,,,"0",,"Limicole","Limicole",,
"ADMIBO","Administrative boat (navy, custom, coast guard)","Human activity",,"Etat","Ship","Bateau de l'etat (douanes, marine)",,,,"Bateau de l'Etat (douanes, marine)","Administrative boat (navy, custom, coast guard)","Barco militar, guardacostas, adouana","X",,,,"Activite humaine","Ship","Administrative vessel",,,,,,,,,,,,"Guy, Ant","R","R",,"Samm, bat","x",,,"BATADM","ADMIBO",,"Administrative vessel","Ship",,"BATADM / Samm ou BATMIL /  Bat"
"AEGCAU","Aegithalos caudatus","Land Bird",,"Passereau","Autre oiseau","Mesange a longue queue",,,,"Mesange a longue queue","Long-tailed Tit","Mito comun","Chordata","Aves","Passeriformes","Aegithalidae","Oiseau terrestre","Other bird","Passerine",,"Aegithalos caudatus","Mesange a longue queue","Long-tailed Tit",4.3420000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Aegithalidae",,,,,"bat",,,,,,,,,,
"AETNAR","Aetobatus narinari","Other Marine Wildlife",,"Raie","Elasmobranche","Raie leopard",,,,"Raie leopard","Spotted Eagle Ray",,"Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Autre faune marine","Elasmobranch","Ray",7.0000000000000000e+00,"Aetobatus narinari",,,4.2317900000000000e+05,,"Animalia","Chordata","Elasmobranchii","Rajiformes","Myliobatidae",,,"R","R",,,,,,"0",,"Elasmobranch","Fish",1.6000000000000000e+01,
"ALAARV","Alauda arvensis","Land Bird",,"Passereau","Autre oiseau","Alouette des champs",,,,"Alouette des champs","Eurasian skylark","Alondra comun","Chordata","Aves","Passeriformes","Alaudidae","Oiseau terrestre","Other bird","Passerine",1.0000000000000000e+01,"Alauda arvensis"," Alouette des champs","Sky Lark",3.6760000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Alaudidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ALASPP","Alauda spp","Land Bird",,"Passereau","Autre oiseau","Alouette ind.",,,,"Alouette ind.","Skylark sp","Alondra spp","Chordata","Aves","Passeriformes","Alaudidae","Oiseau terrestre","Other bird","Passerine",9.0000000000000000e+00,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"ALCSPP","Alcidae sp","Seabird",,"Alcide ind.","Alcidae","Alcide ind.",,,"plongeur","Alcide ind.","Auk sp","Alcido spp","Chordata","Aves","Charadriiformes","Alcidae","Oiseau marin","Alcidae","Auk unidentif.",1.5000000000000000e+01,,,,,,,,,,,,,,,"Samm, bat, atlancet","x",,,,"0",,"Alcide","Alcide",,
"ALCTOR","Alca torda","Seabird","Large Alcidae","Pingouin ou Guillemot","Alcidae","Pingouin torda",,,"plongeur","Pingouin torda","Razorbill","Alca spp","Chordata","Aves","Charadriiformes","Alcidae","Oiseau marin","Alcidae","Razobill or Guillemot",1.3000000000000000e+01,"Alca torda","Petit pingouin, Pingouin torda","Razorbill",3.3880000000000000e+03,"137128","Animalia","Chordata","Aves","Charadriiformes","Alcidae",,,,,"Samm, bat","x",,,,"0",,"Alcide","Alcide",,
"ALCURI","Alca / Uria","Seabird","Large Alcidae","Pingouin ou Guillemot","Alcidae","Guillemot ou pingouin","Pingouin torda / Guillemot de troa¯l","Alca torda / Uria aalge","plongeur","Pingouin ou Guillemot","Razobill/Guillemot","Alacarao","Chordata","Aves","Charadriiformes","Alcidae","Oiseau marin","Alcidae","Razobill or Guillemot",1.4000000000000000e+01,,,,,,,,,,,,,,,"Samm, bat","x",,,,"0",,"Alcide","Alcide",,
"ALLALL","Alle Alle","Seabird","Small Alcidae","Autre Alcide","Alcidae","Mergule nain",,,"plongeur","Mergule nain","Little auk","Mergulo atlantico","Chordata","Aves","Charadriiformes","Alcidae","Oiseau marin","Alcidae","Other auk",1.7000000000000000e+01,"Alle alle","Mergule nain","Little Auk",3.3960000000000000e+03,"137129","Animalia","Chordata","Aves","Charadriiformes","Alcidae",,,,,"Samm, bat",,,,,"0",,"Alcide","Alcide",,
"ALOVUL","Alopias vulpinus","Other Marine Wildlife",,"Requin","Elasmobranche","Requin renard commun",,,,"Requin renard commun","Fox shark","Pez zorro","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Autre faune marine","Elasmobranch","Shark",1.9000000000000000e+01,"Alopias vulpinus","Renard de mer","Thintail thresher, Thresher Shark",6.6429000000000000e+04,"105836","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae",,,,,"Samm, bat, fremm","x",,,,"0",,"Fish","Fish",,
"ANAACU","Anas acuta","Land Bird",,"Grand canard","Anatidae","Canard pilet",,,,"Canard pilet","Northern Pintail","Anade rabudo","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Large Anatidae",2.2000000000000000e+01,"Anas acuta"," Canard pilet","Northern Pintail",1.9730000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Grand canard","Grand canard",,
"ANACLY","Anas clypeata","Land Bird",,"Grand canard","Anatidae","Canard souchet",,,,"Canard souchet","Northern Shoveler","Pato cuchara","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Large Anatidae",2.3000000000000000e+01,"Anas clypeata"," Canard souchet","Northern Shoveler",1.9700000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Grand canard","Grand canard",,
"ANACRE","Anas crecca","Land Bird",,"Petit canard","Anatidae","Sarcelle d'hiver",,,,"Sarcelle d'hiver","Common teal","Cerceta comun","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Small Anatidae",2.4000000000000000e+01,"Anas crecca"," Sarcelle d'hiver","Common Teal",1.9580000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Petit canard","Petit canard",,
"ANAPEN","Anas penelope","Land Bird",,"Grand canard","Anatidae","Canard siffleur",,,,"Canard siffleur","Eurasian Wigeon","Anade silbon","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Large Anatidae",2.6000000000000000e+01,"Anas penelope"," Canard siffleur","Eurasian Wigeon",1.9500000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Grand canard","Grand canard",,
"ANAPLA","Anas platyrhynchos","Land Bird",,"Grand canard","Anatidae","Canard colvert",,,,"Canard colvert","Mallard","Anade real","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Large Anatidae",2.7000000000000000e+01,"Anas platyrhynchos"," Canard colvert","Mallard",1.9660000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Grand canard","Grand canard",,
"ANASPP","Anas spp / Aythya spp","Coastal Bird",,"Canard ind.","Anatidae","Canard ind.",,,,"Canard ind.","Duck sp (no goose)","Carricero spp","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Anatidae unidentif.",2.1000000000000000e+01,,,,,,,,,,,,,,,"Samm, bat",,,,"GRACAN ou PETCAN","0",,"Grand canard","Grand canard",,"GRACAN / Samm ou PETCAN / Samm"
"ANASTR","Anas strepera","Land Bird",,"Grand canard","Anatidae","Canard chipeau",,,,"Canard chipeau","Gadwall","Anade friso","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Large Anatidae",,"Anas strepera",,,,,,,,,,,,,,,,,,,,,,,,
"ANATID","Anatidae sp","Coastal Bird",,"Canard","Anatidae","Canard ou Oie ind.",,,,"Anatide ind.","Duck sp",,"Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Canard",,,,,,,,,,,,,,,,"Samm","x",,,"ANASPP ","0",,"Canard",,,"ANASPP / Samm"
"ANOMIN","Anous minutus","Seabird",,"Noddi","Sternidae","Noddi noir",,,"surface","Noddi noir","Black noddy",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Noddy",,"Anous minutus"," Noddi noir",,4.3272900000000000e+05,,"Animalia","Chordata","Aves","Charadriiformes","Sternidae",,,,"Fut",,,,,,"0",,"Noddi","Noddi",,
"ANOSPP","Anous stolidus / tenuirostris / minutus","Seabird",,"Noddi","Sternidae","Noddi","Noddi brun / a  bec grele / noir","Anous stolidus / A. tenuirostris / A. minutus","surface","Noddi brun / a bec grele / noir","Noddy sp",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Noddy",3.4000000000000000e+01,,,,,,,,,,,,"R","R","R, fut",,,,,,"ANOSPP",,"Noddi","Noddi",1.9000000000000000e+01,
"ANOSTO","Anous stolidus","Seabird",,"Noddi","Sternidae","Noddi brun",,,"surface","Noddi brun","Brown Noddy",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Noddy",3.2000000000000000e+01,"Anous stolidus"," Noddi brun ",,,,,,,,,"Guy, Ant","epa",,"Fut",,,,,,"0",,"Noddi","Noddi",1.0000000000000000e+00,
"ANSALB","Anser albifrons","Land Bird",,"Oie","Anatidae","Oie rieuse",,,,"Oie rieuse","Greater White-fronted Goose","Ansar careto","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Goose",,"Anser albifrons",,,,,,,,,,,,,,,,,,,,,,,,
"ANSANS","Anser anser","Land Bird",,"Oie","Anatidae","Oie cendree",,,,"Oie cendree","Greylag Goose","Ansar comon","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Goose",3.8000000000000000e+01,"Anser anser"," Oie cendree","Greylag Goose",2.7410000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Oie","Oie",,
"ANSSPP","Anser sp","Coastal Bird",,"Oie","Anatidae","Oie ind.",,,,"Oie ind.","Goose sp",,"Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Goose",,,,,,,,,,,,,,,,"Samm",,,,,"0",,"Oie","Oie",,
"ANTPET","Anthus petrosus","Land Bird",,"Passereau","Autre oiseau","Pipit maritime",,,,"Pipit maritime","Eurasian rock pipit","Bisbita costero","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.1000000000000000e+01,"Anthus petrosus"," Pipit maritime","Rock Pipit",3.7160000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ANTPRA","Anthus pratensis","Land Bird",,"Passereau","Autre oiseau","Pipit farlouse",,,,"Pipit farlouse","Meadow pipit","Bisbita comun","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.2000000000000000e+01,"Anthus pratensis"," Pipit farlouse","Meadow Pipit",3.7260000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"ANTSPP","Anthus spp","Land Bird",,"Passereau","Autre oiseau","Pipit ind.",,,,"Pipit ind.","Pipit sp","Bisbita spp","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.0000000000000000e+01,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"ANTTRI","Anthus trivialis","Land Bird",,"Passereau","Autre oiseau","Pipit des arbres",,,,"Pipit des arbres","Tree pipit","Pepito","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.3000000000000000e+01,"Anthus trivialis"," Pipit des arbres","Tree Pipit",3.7230000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"APUAPU","Apus apus","Land Bird",,"Martinet","Apodidae","Martinet noir",,,,"Martinet noir","Common swift","Vencejo comun","Chordata","Aves","Apodiformes","Apodidae","Oiseau terrestre","Other bird","Apodidae",5.2000000000000000e+01,"Apus apus"," Martinet noir","Common Swift",3.5510000000000000e+03,,"Animalia","Chordata","Aves","Apodiformes","Apodidae",,,,,"bat, belgica",,,,,"0",,,"martinet",,
"APUSPP","Apus spp","Land Bird",,"Martinet","Apodidae","Martinet","Martinet noir / pale","Apus apus / A. pallidus",,"Martinet ind.","Swift unidentif.","Vencejo spp","Chordata","Aves","Apodiformes","Apodidae","Oiseau terrestre","Other bird","Apodidae",5.1000000000000000e+01,,,,,,,,,,,,,,,"bat","x",,,,"0",,,"martinet",,
"AQUABO","Aquaculture vessel","Human activity",,"Aquaculuture","Ship","Bateau aquaculture, conchyliculture",,,,"Bateau aquaculture","Aquaculture vessel",,"X",,,,"Activite humaine","Ship","Aquaculture",,,,,,,,,,,,,,,,"Samm","x","FIBO","BATAQU","BATAQU","0",,"Ship","Ship",,"BATAQU / Samm, bat"
"ARDCIN","Ardea cinerea","Land Bird",,"Echassier","Ardeidae","Heron cendre",,,,"Heron cendre","Grey heron","Garza real","Chordata","Aves","Ciconiiformes","Ardeidae","Oiseau terrestre","Ardeidae","Echassier",6.8000000000000000e+01,"Ardea cinerea"," Heron cendre","Grey Heron",2.5060000000000000e+03,,"Animalia","Chordata","Aves","Ciconiiformes","Ardeidae",,,,,"Samm, bat","x",,,,"0",,"Echassier","Echassier",,
"ARDPUR","Ardea purpurea","Land Bird",,"Echassier","Ardeidae","Heron pourpre",,,,"Heron pourpre","Purple heron","Garza pourpre","Chordata","Aves","Ciconiiformes","Ardeidae","Oiseau terrestre","Ardeidae","Echassier",6.9000000000000000e+01,"Ardea purpurea"," Heron pourpre","Purple Heron",2.5080000000000000e+03,,"Animalia","Chordata","Aves","Ciconiiformes","Ardeidae",,,,,"bat","x",,,,"0",,"Echassier","Echassier",,
"ARDSPP","Ardea sp","Land Bird",,"Echassier","Ardeidae","Heron ",,,,"Heron ind.","Heron sp","Garza spp","Chordata","Aves","Ciconiiformes","Ardeidae","Oiseau terrestre","Ardeidae","Echassier",6.7000000000000000e+01,,,,,,,,,,,,,,"Fut","Samm, bat","x",,,,"0",,"Echassier","Echassier",,
"AREINT","Arenaria interpres","Land Bird",,"Limicole","Scolopacidae","Tournepierre a collier",,,,"Tournepierre a collier","Turnstone","Vuelvepiedras comun","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Scolopacidae","Shorebird",7.2000000000000000e+01,"Arenaria interpres","Tournepierre a  collier","Ruddy Turnstone",3.2390000000000000e+03,,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,"epa",,"Fut","bat",,,,,"0",,"Limicole","Limicole",,
"ASIFLA","Asio flammeus","Land Bird",,"Rapace","Autre oiseau","Hibou des marais",,,,"Hibou des marais","Short-eared owl","Lechuza campestre","Chordata","Aves","Strigiformes","Strigidae","Oiseau terrestre","Other bird","Bird of prey",7.4000000000000000e+01,"Asio flammeus"," Hibou des marais","Short-eared Owl",3.5250000000000000e+03,,"Animalia","Chordata","Aves","Strigiformes","Strigidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"ASIOTU","Asio otus","Land Bird",,"Rapace","Autre oiseau","Hibou moyen-duc",,,,"Hibou moyen-duc","Long-eared owl","Buho chico","Chordata","Aves","Strigiformes","Strigidae","Oiseau terrestre","Other bird","Bird of prey",7.5000000000000000e+01,"Asio otus"," Hibou moyen-duc","Long-eared Owl",3.5220000000000000e+03,,"Animalia","Chordata","Aves","Strigiformes","Strigidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"AYTMAR","Aythya marila","Land Bird",,"Grand canard","Anatidae","Fuligule milouinan",,,,"Fuligule milouinan","Greater Scaup","Porran bastardo","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Grand canard",8.1000000000000000e+01,"Aythya marila"," Fuligule milouinan","Greater Scaup",2.0010000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat","x",,,,"0",,"Grand canard","Grand canard",,
"BALACU","Balaenoptera acutorostrata","Marine mammal","Medium cetacean","Petit baleinopteride","Baleinopteridae","Petit rorqual",,,,"Petit rorqual","Minke whale","Rorcual aliblanco","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Small Baleinopteridae",9.1000000000000000e+01,"Balaenoptera acutorostrata","Rorqual a  museau pointu","Minke Whale",6.0856000000000000e+04,"137087","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Ant","R, M",,,"Samm, bat, belgica, atlancet","x","BACU",,,"BALACU",,"Petit baleinopteride","Petit baleinopteride",2.0000000000000000e+01,
"BALBON","Balaenoptera bonaerensis","Marine mammal","Large cetacean","Petit baleinopteride","Baleinopteridae","Petit rorqual antarctique",,,,"Petit rorqual antarctique","Antarctic minke whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Small Baleinopteridae",9.4000000000000000e+01,"Balaenoptera bonaerensis","Petit rorqual antarctique","Antarctic minke whale",5.2870500000000000e+05,,"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae",,"M",,"R",,,,,,"0",,"Petit baleinopteride","Petit baleinopteride",1.9000000000000000e+01,
"BALBOR","Balaenoptera borealis","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Rorqual boreal (de Rudolphi)",,,,"Rorqual boreal","Sei whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",9.5000000000000000e+01,"Balaenoptera borealis","Rorqual boreal, Rorqual de Rudolphi","Sei Whale",6.0858000000000000e+04,"137088","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae",,"M",,,"Samm","x","BBOR",,,"0",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
"BALCAR","Balistes spp","Other Marine Wildlife",,"Petit poisson","Poisson","Baliste",,,,"Baliste","Gray triggerfish","Pez ballesta","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Autre faune marine","Fish","Small fish",1.1100000000000000e+02,,,,,,,,,,,,,,,"bat, belgica","x",,,,,,"Fish","Fish",,
"BALEDE","Balaenoptera edeni","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Rorqual de Bryde (tropical)",,,,"Rorqual de Bryde","Bryde's whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",9.9000000000000000e+01,"Balaenoptera edeni","Rorqual tropical (de Bryde) ",,6.0860000000000000e+04,"137089","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae",,"R, M",,,,,,,,"BALEDE",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
"BALMUS","Balaenoptera musculus","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Rorqual bleu (baleine bleue)",,,,"Rorqual bleu","Blue whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",1.0100000000000000e+02,"Balaenoptera musculus","Rorqual bleu, Grand rorqual","Blue whale",6.0863000000000000e+04,"137090","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae",,"M",,,"Samm, bat",,"BMUS",,,"0",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
"BALOMU","Balaenoptera omurai","Marine mammal","Large cetacean","Petit baleinopteride","Baleinopteridae","Rorqual d'Omura",,,,"Rorqual d'Omura","Omura's whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Small Baleinopteridae",,"Balaenoptera omurai","Rorqual d'Omura","Omura's whale",5.3452300000000000e+05,,"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae",,,,"R",,,,,,"0",,"Petit baleinopteride","Grand baleinopteride",,
"BALPHY","Balaenoptera physalus","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Rorqual commun",,,,"Rorqual commun","Fin whale","Rorcual comun","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",1.0500000000000000e+02,"Balaenoptera physalus","Rorqual commun","Fin Whale",6.0861000000000000e+04,"137091","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Guy","R, epa",,"R","Samm, bat, sercel, belgica, romer, atlancet","x","BPHY",,,"0",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
"BALSPP","Balaenopteridae sp.","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Rorqual ind.",,,,"Rorqual ind.","Balaenopterid sp.","Rorcual spp","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",1.1000000000000000e+02,,,,,,,,,,,"Guy, Ant","R, epa",,"R, fut","Samm, bat, fremm, atlancet","x","BASP",,,"BALSPP",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
"BERARN","Berardius arnuxii","Marine mammal","Medium cetacean","Autre Baleine a bec","Ziphiidae","Berardie d'Arnoux",,,,"Berardie d'Arnoux","Arnoux's Beaked Whale",,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Other beaked whale",,,,,,,,,,,,,"S",,,,,,,,"0",,"Baleine a  bec","Baleine a  bec",,
"BIRSPP","aves","Land Bird",,"Oiseau ind.","Autre oiseau","Oiseau non identifie",,,,"Oiseau ind.","Unidentified Bird",,"Chordata","Aves",,,"Oiseau terrestre","Other bird","bird unidentif.",7.6000000000000000e+01,,,,,,,,,,,"Guy, Ant","R","R",,"Samm","x",,,,"BIRSPP",,"Oiseau","Oiseau",2.0000000000000000e+01,"OISSPP / Samm, antilles"
"BLAGUL","Larus fuscus / maritimus","Seabird","Large gull","Goeland noir","Laridae","Goeland noir ind.","Goeland brun / marin","Larus fuscus / L. marinus","surface","Goeland noir ind.","black gull sp",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Laridae","Black gull",,,,,,,,,,,,,,,,"Samm","x",,,,,,"Goeland noir","Goeland noir",,"GOENOI / Samm"
"BOAT","Non identified ship","Human activity",,"Bateau non identifie","Ship","Bateau non identifie",,,,"Bateau non identifie","Non identified ship","Barco spp","X",,,,"Activite humaine","Ship","Ship unidentif.",,,,,,,,,,,,"Ant","R","R",,"Samm, bat, belgica, atlancet","x",,,"BATSPP","BOATSP","BOATSP","Ship","Ship",,"BATSPP / Samm ou BOATSP / OI, Polynesie"
"BRABER","Branta bernicla","Coastal Bird",,"Oie","Anatidae","Bernache cravant",,,,"Bernache cravant","Brent Goose","Barnacla Carinegra","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Goose",1.1800000000000000e+02,"Branta bernicla"," Bernache cravant","Brent Goose",2.7570000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"Samm, bat",,,,,"0",,"Oie","Oie",,
"BRACAN","Branta canadensis","Coastal Bird",,"Oie","Anatidae","Bernache du Canada",,,,"Bernache du Canada","Canada Goose","Barnacla Canadiense","Chordata","Aves","Anseriformes","Anatidae","Oiseau terrestre","Anatidae","Goose",,"Branta canadensis",,,,,,,,,,,,,,,,,,,,,,,,
"BROPET","Brown petrel / Shearwater","Seabird",,"Grand procellaride marron","Procellariidae","Grand procellaride marron","Petrel a  poitrine blanche / Kermadec / herault / de Tahiti / Puffins du Pacifique / de la nativite","Pterodroma alba / P. neglecta / P. heraldica / Pseudobulweria rostrata / Puffinus pacificus / Puf.nativitatis","plongeur","Grand procellaride marron","Brown petrel/ shearwater sp",,"Chordata","Aves","Ciconiiformes","Procellariidae","Oiseau marin","Procellariidae","Large brown procellariids",6.7300000000000000e+02,,,,,,,,,,,,,"R","R",,,,,,"0",,"dark","dark",1.7000000000000000e+01,
"BROTER","Sterna fuscata / anaethetus","Seabird","Brown tern","Sterne brune","Sternidae","Sterne brune","Sterne fuligineuse / bridee","Sterna fuscata / S. anaethetus","surface","Sterne fuligineuse / bridee","Sooty/Bridled Tern",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Brown tern",8.3500000000000000e+02,,,,,,,,,,,"Guy, Ant","R","R","R, Fut",,"x",,,,"BROTER",,"Sterne brune","Sterne brune",2.0000000000000000e+01,"STEBRU / antilles"
