code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"LISPER","Lissodelphis peronii","Marine mammal","Small cetacean","Grand delphinine","Delphininae","Dauphin de Peron",,,,"Dauphin de Peron","Southern right whale doplhin",,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Delphininae","Large Delphininae",,,,,,,,,,,,,"S",,,,,,,,"0",,"Grand delphinine","Grand delphinine",,
"LOCLUS","Locustella luscinioides","Land Bird",,"Passereau","Autre oiseau","Locustelle luscinioide","Locustelle luscinioide",,,"Locustelle luscinioide","Savi's warbler","Buscarla unicolor","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",,"Locustella luscinioides",,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"LONGBO","Longliner","Human activity",,"Peche","Ship","Bateau palangrier",,,,"Bateau palangrier","Longliner","Barco palangrero","X",,,,"Activite humaine","Ship","Fishing activity",,,,,,,,,,,,,,,"R","Bat","x","FIBO",,,"0",,"Ship","Ship",,"BATPAL / bat"
"LOXCUR","Loxia curvirostra","Land Bird",,"Passereau","Autre oiseau","Bec croise des sapins",,,,"Bec croise des sapins","Common Crossbill","Piquituerto escoces","Chordata","Aves","Passeriformes","Fringillidae","Oiseau terrestre","Other bird","Passerine",4.3500000000000000e+02,"Loxia curvirostra"," Bec-croise des sapins","Common Crossbill",4.6030000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Fringillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"LUSMEG","Luscinia megarhynchos","Land Bird",,"Passereau","Autre oiseau","Rossignol Philomele",,,,"Rossignol Philomele","Common Nightingale","Ruisenor","Chordata","Aves","Passeriformes","Saxicolidae","Oiseau terrestre","Other bird","Passerine",4.4000000000000000e+02,"Luscinia megarhynchos"," Rossignol philomele","Common Nightingale",4.0130000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Saxicolidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"MANBIR","Manta birostris","Other Marine Wildlife",,"Raie","Elasmobranche","Raies manta",,,,"Raie manta","Manta ray",,"Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Autre faune marine","Elasmobranch","Ray",5.0600000000000000e+02,"Manta birostris",,,3.6735200000000000e+05,"105857","Animalia","Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Guy","R","R","R",,"x",,,,"MANBIR",,"Fish","Fish",2.0000000000000000e+01,
"MEDCET","Medium Cetacea","Marine mammal","Medium cetacean","Cetace ind.","Cetacea","Moyen cetace ind.",,,,"Moyen cetace ind.","Medium Cetacea","Ballena de pico / R. aliblanco / Calderon / Orca","Chordata","Mammalia","Cetartiodactyla",,"Mammifere marin","Cetacea","Cetacean unidentif.",9.5300000000000000e+02,,,,,,,,,,,"Guy, Ant","R","R","R","Samm, bat","x","MW",,,"MEDCET",,"Cetace indetermine","Cetace indetermine",2.0000000000000000e+01,"x CETSPP (tous correspondent) / antilles"
"MEDGUL","Larus canus / audouinii","Seabird","Medium gull","Petit goeland gris","Laridae","Petit goeland gris ind.","Goeland cendre / d'Audouin","Larus canus / L. audouinii","surface","Petit goeland gris ind.","Medium gull sp",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Laridae","Small grey gull",,,,,,,,,,,,,,,,"Samm","x",,,,"0",,"Petit goeland gris","Petit goeland gris",,"PETGOG / Samm"
"MEDTER","Sterna hirundo / paradisaea","Seabird","Medium tern","Sterne grise","Sternidae","Sterne moyenne ind.","Sterne Pierregarin / arctique","Sterna hirundo / S. paradisaea","surface","Sterne moyenne ind.","Common tern / acrtic tern",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Grey tern",,,,,,,,,,,,,,,,"Samm",,,,,"0",,"Sterne grise","Sterne grise",,"MOYSTE / Samm"
"MEGNOV","Megaptera novaeangliae","Marine mammal","Large cetacean","Grand baleinopteride","Baleinopteridae","Baleine a bosse",,,,"Baleine a bosse","Humpback Whale","Ballena jorobada","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Mammifere marin","Baleinopteridae","Large Baleinopteridae",4.5100000000000000e+02,"Megaptera novaeangliae","Baleine a  bosse, megaptere","Humpback whale",6.0867000000000000e+04,"137092","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Ant","M",,"R","Samm, bat, belgica","x","MNOV",,,"0",,"Grand baleinopteride","Grand baleinopteride",2.0000000000000000e+01,
