Latitude,Longitude,leg_heure,code_leg,speed,course
49.3918375,-3.51707,23034_16_42_00,23034,,
50.3296757,0.2794494,23035_07_47_00,23035,,
50.3305825,0.2843412,23035_07_48_00,23035,,
50.3322905,0.2940493,23035_07_50_00,23035,,
50.3331504,0.2988348,23035_07_51_00,23035,,
50.3348367,0.3083787,23035_07_53_00,23035,,
50.3356726,0.3132106,23035_07_54_00,23035,,
50.3365589,0.3180488,23035_07_55_00,23035,,
50.3374271,0.3229082,23035_07_56_00,23035,,
50.3382983,0.3277054,23035_07_57_00,23035,,
50.3391652,0.3325428,23035_07_58_00,23035,,
50.3400504,0.3373875,23035_07_59_00,23035,,
50.3409326,0.3422491,23035_08_00_00,23035,,
50.3435329,0.3566686,23035_08_03_00,23035,,
50.3443788,0.3614537,23035_08_04_00,23035,,
50.3452545,0.3662201,23035_08_05_00,23035,,
50.3478754,0.380534,23035_08_08_00,23035,,
50.3487334,0.3853012,23035_08_09_00,23035,,
50.3496177,0.3900881,23035_08_10_00,23035,,
50.3522503,0.4043133,23035_08_13_00,23035,,
50.3539902,0.4137846,23035_08_15_00,23035,,
50.3548481,0.4184116,23035_08_16_00,23035,,
50.3564132,0.4278279,23035_08_18_00,23035,,
50.3599264,0.4466619,23035_08_22_00,23035,,
50.3617486,0.4560978,23035_08_24_00,23035,,
50.3626784,0.4608364,23035_08_25_00,23035,,
50.3672525,0.4844172,23035_08_30_00,23035,,
50.3681791,0.4890884,23035_08_31_00,23035,,
50.3726818,0.5124522,23035_08_36_00,23035,,
50.374438,0.5218069,23035_08_38_00,23035,,
50.3807714,0.5543085,23035_08_45_00,23035,,
50.3861027,0.5820565,23035_08_51_00,23035,,
50.387012,0.5867058,23035_08_52_00,23035,,
50.3905919,0.6052666,23035_08_56_00,23035,,
50.3914555,0.6099046,23035_08_57_00,23035,,
50.3923742,0.6144419,23035_08_58_00,23035,,
50.3941257,0.6236195,23035_09_00_00,23035,,
50.3959009,0.6327972,23035_09_02_00,23035,,
50.3976314,0.6419148,23035_09_04_00,23035,,
50.3985265,0.6464847,23035_09_05_00,23035,,
50.3994119,0.6511076,23035_09_06_00,23035,,
50.4003315,0.6556618,23035_09_07_00,23035,,
50.401221,0.6602618,23035_09_08_00,23035,,
50.4029521,0.6694438,23035_09_10_00,23035,,
50.4038548,0.67397,23035_09_11_00,23035,,
50.4046857,0.6784889,23035_09_12_00,23035,,
50.40557,0.682979,23035_09_13_00,23035,,
50.4064415,0.6875221,23035_09_14_00,23035,,
50.4082168,0.6965859,23035_09_16_00,23035,,
50.4090943,0.701152,23035_09_17_00,23035,,
50.4099696,0.7056939,23035_09_18_00,23035,,
50.4108791,0.7102533,23035_09_19_00,23035,,
50.4117133,0.7148274,23035_09_20_00,23035,,
50.4126272,0.7193384,23035_09_21_00,23035,,
50.4143516,0.7284845,23035_09_23_00,23035,,
50.4196166,0.755676,23035_09_29_00,23035,,
50.4239999,0.7784639,23035_09_34_00,23035,,
50.4257467,0.7875858,23035_09_36_00,23035,,
50.4335627,0.8280719,23035_09_45_00,23035,,
50.4344094,0.8325849,23035_09_46_00,23035,,
